date,total_confirmed,total_deaths,states_reporting,municipalities
1/5/2026,6374,24,30,217
1/12/2026,6721,24,30,233
1/19/2026,7168,24,32,255
1/26/2026,7624,25,32,270
2/2/2026,8288,26,32,294
2/9/2026,8899,28,32,319
2/17/2026,10085,31,32,362
2/26/2026,11419,33,32,392
3/6/2026,12556,34,32,423
3/13/2026,13408,35,32,433
3/20/2026,14036,35,32,443
3/31/2026,14986,36,32,458
4/7/2026,15277,36,32,462
4/14/2026,15878,36,32,470
